6 999 999 3
5 999 3 2
4 999 2 999
3 3 999 1
2 2 1 999
1 1 999 999
10 999 999 6
9 999 6 5
8 999 5 4
7 999 4 999
6 6 999 3
5 5 3 2
4 4 2 999
3 3 999 1
2 2 1 999
1 1 999 999
15 999 999 10
14 999 10 9
13 999 9 8
12 999 8 7
11 999 7 999
10 10 999 6
9 9 6 5
8 8 5 4
7 7 4 999
6 6 999 3
5 5 3 2
4 4 2 999
3 3 999 1
2 2 1 999
1 1 999 999
21 999 999 15
20 999 15 14
19 999 14 13
18 999 13 12
17 999 12 11
16 999 11 999
15 15 999 10
14 14 10 9
13 13 9 8
12 12 8 7
11 11 7 999
10 10 999 6
9 9 6 5
8 8 5 4
7 7 4 999
6 6 999 3
5 5 3 2
4 4 2 999
3 3 999 1
2 2 1 999
1 1 999 999
